family,exp_name,model_path,cv_auc_mean,test_auc
linear,seed42_linear_basic_LR_v1,artifacts\fair_bruteforce\linear\models\seed42_linear_basic_LR_v1.joblib,0.8197221289612594,0.8848230735023188
linear,seed2025_linear_basic_LR_v1,artifacts\fair_bruteforce\linear\models\seed2025_linear_basic_LR_v1.joblib,0.8197221289612594,0.8848230735023188
linear,seed42_linear_basic_LR_v5,artifacts\fair_bruteforce\linear\models\seed42_linear_basic_LR_v5.joblib,0.8180139378508944,0.8845689600406581
linear,seed2025_linear_basic_LR_v5,artifacts\fair_bruteforce\linear\models\seed2025_linear_basic_LR_v5.joblib,0.8180139378508944,0.8845689600406581
linear,seed2025_linear_basic_LR_v2,artifacts\fair_bruteforce\linear\models\seed2025_linear_basic_LR_v2.joblib,0.8175849793893273,0.8839972047519217
linear,seed42_linear_basic_LR_v2,artifacts\fair_bruteforce\linear\models\seed42_linear_basic_LR_v2.joblib,0.8175849793893273,0.8839972047519217
linear,seed2025_linear_basic_LR_v3,artifacts\fair_bruteforce\linear\models\seed2025_linear_basic_LR_v3.joblib,0.8173722371439764,0.8836160345594308
linear,seed42_linear_basic_LR_v3,artifacts\fair_bruteforce\linear\models\seed42_linear_basic_LR_v3.joblib,0.8173722371439764,0.8836160345594308
linear,seed42_linear_basic_LR_v4,artifacts\fair_bruteforce\linear\models\seed42_linear_basic_LR_v4.joblib,0.8192664512338427,0.882917222539864
linear,seed2025_linear_basic_LR_v4,artifacts\fair_bruteforce\linear\models\seed2025_linear_basic_LR_v4.joblib,0.8193268377072724,0.8828536941744489
tree,seed42_tree_target_LGB_v4,artifacts\fair_bruteforce\tree\models\seed42_tree_target_LGB_v4.joblib,0.7961424188163319,0.869576265802681
tree,seed42_tree_target_LGB_v3,artifacts\fair_bruteforce\tree\models\seed42_tree_target_LGB_v3.joblib,0.7948163178706656,0.867988056667302
tree,seed2025_tree_target_LGB_v3,artifacts\fair_bruteforce\tree\models\seed2025_tree_target_LGB_v3.joblib,0.7974549409658105,0.8673527730131504
tree,seed2025_tree_onehot_LGB_v1,artifacts\fair_bruteforce\tree\models\seed2025_tree_onehot_LGB_v1.joblib,0.7974764795851753,0.8657010355123562
tree,seed2025_tree_onehot_HGB_v3,artifacts\fair_bruteforce\tree\models\seed2025_tree_onehot_HGB_v3.joblib,0.7888426034730383,0.8653833936852805
tree,seed42_tree_onehot_HGB_v3,artifacts\fair_bruteforce\tree\models\seed42_tree_onehot_HGB_v3.joblib,0.7888426034730383,0.8653833936852805
tree,seed2025_tree_onehot_LGB_v3,artifacts\fair_bruteforce\tree\models\seed2025_tree_onehot_LGB_v3.joblib,0.7928592552179508,0.8653198653198654
tree,seed42_tree_target_XGB_v3,artifacts\fair_bruteforce\tree\models\seed42_tree_target_XGB_v3.joblib,0.8098867159084551,0.8653198653198654
tree,seed2025_tree_target_XGB_v1,artifacts\fair_bruteforce\tree\models\seed2025_tree_target_XGB_v1.joblib,0.80646515304124,0.8651928085890349
tree,seed42_tree_target_XGB_v4,artifacts\fair_bruteforce\tree\models\seed42_tree_target_XGB_v4.joblib,0.8111250163206684,0.8645575249348835
neural,seed2025_neural_raw_MLP_v1,artifacts\fair_bruteforce\neural\models\seed2025_neural_raw_MLP_v1.joblib,0.8121140674836328,0.8763738009021028
neural,seed42_neural_raw_MLP_v4,artifacts\fair_bruteforce\neural\models\seed42_neural_raw_MLP_v4.joblib,0.7947816994012646,0.8726891557080235
neural,seed42_neural_raw_MLP_v6,artifacts\fair_bruteforce\neural\models\seed42_neural_raw_MLP_v6.joblib,0.8052653227761924,0.8707833047455689
neural,seed42_neural_standard_MLP_v6,artifacts\fair_bruteforce\neural\models\seed42_neural_standard_MLP_v6.joblib,0.7763978839087535,0.8695127374372659
neural,seed42_neural_raw_MLP_v2,artifacts\fair_bruteforce\neural\models\seed42_neural_raw_MLP_v2.joblib,0.8059697508067073,0.863985769646147
neural,seed2025_neural_raw_MLP_v3,artifacts\fair_bruteforce\neural\models\seed2025_neural_raw_MLP_v3.joblib,0.8090253856340812,0.8634775427228257
neural,seed2025_neural_raw_MLP_v2,artifacts\fair_bruteforce\neural\models\seed2025_neural_raw_MLP_v2.joblib,0.8047155913677653,0.8632869576265804
neural,seed2025_neural_standard_MLP_v1,artifacts\fair_bruteforce\neural\models\seed2025_neural_standard_MLP_v1.joblib,0.7911815744315744,0.8606822946445588
neural,seed42_neural_standard_MLP_v4,artifacts\fair_bruteforce\neural\models\seed42_neural_standard_MLP_v4.joblib,0.7808204306791263,0.8582682167587828
neural,seed42_neural_standard_MLP_v2,artifacts\fair_bruteforce\neural\models\seed42_neural_standard_MLP_v2.joblib,0.7847003292111988,0.8582682167587827
