,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Attrition,1100.0,,,,0.1618181818181818,0.3684514524690281,0.0,0.0,0.0,0.0,1.0
Age,1100.0,,,,36.99909090909091,9.037229594075887,18.0,30.0,36.0,43.0,60.0
BusinessTravel,1100,3,Travel_Rarely,787,,,,,,,
Department,1100,3,Research & Development,727,,,,,,,
DistanceFromHome,1100.0,,,,9.427272727272728,8.196693768438553,1.0,2.0,7.0,15.0,29.0
Education,1100.0,,,,2.922727272727273,1.0222420977654336,1.0,2.0,3.0,4.0,5.0
EducationField,1100,6,Life Sciences,462,,,,,,,
EnvironmentSatisfaction,1100.0,,,,2.7254545454545456,1.0980532333637203,1.0,2.0,3.0,4.0,4.0
Gender,1100,2,Male,653,,,,,,,
JobInvolvement,1100.0,,,,2.730909090909091,0.7063658874678509,1.0,2.0,3.0,3.0,4.0
JobLevel,1100.0,,,,2.0545454545454547,1.1078047514606335,1.0,1.0,2.0,3.0,5.0
JobRole,1100,9,Sales Executive,247,,,,,,,
JobSatisfaction,1100.0,,,,2.732727272727273,1.109731057181748,1.0,2.0,3.0,4.0,4.0
MaritalStatus,1100,3,Married,500,,,,,,,
MonthlyIncome,1100.0,,,,6483.620909090909,4715.293418513246,1009.0,2924.5,4857.0,8354.5,19999.0
NumCompaniesWorked,1100.0,,,,2.6836363636363636,2.5100173200221447,0.0,1.0,2.0,4.0,9.0
OverTime,1100,2,No,794,,,,,,,
PercentSalaryHike,1100.0,,,,15.235454545454546,3.628571444854859,11.0,12.0,14.0,18.0,25.0
PerformanceRating,1100.0,,,,3.152727272727273,0.3598880350882099,3.0,3.0,3.0,3.0,4.0
RelationshipSatisfaction,1100.0,,,,2.6963636363636363,1.0953560066051837,1.0,2.0,3.0,4.0,4.0
StockOptionLevel,1100.0,,,,0.7881818181818182,0.8433470103302116,0.0,0.0,1.0,1.0,3.0
TotalWorkingYears,1100.0,,,,11.221818181818183,7.825547646220833,0.0,6.0,10.0,15.0,40.0
TrainingTimesLastYear,1100.0,,,,2.807272727272727,1.2915142019123977,0.0,2.0,3.0,3.0,6.0
WorkLifeBalance,1100.0,,,,2.7463636363636366,0.7011205476480871,1.0,2.0,3.0,3.0,4.0
YearsAtCompany,1100.0,,,,7.011818181818182,6.223092862177108,0.0,3.0,5.0,9.0,37.0
YearsInCurrentRole,1100.0,,,,4.207272727272727,3.6181151013235713,0.0,2.0,3.0,7.0,18.0
YearsSinceLastPromotion,1100.0,,,,2.2263636363636365,3.3138300999511943,0.0,0.0,1.0,3.0,15.0
YearsWithCurrManager,1100.0,,,,4.123636363636364,3.597995784045165,0.0,2.0,3.0,7.0,17.0
