timestamp,exp_name,model,cv_auc_mean,cv_auc_std,test_auc,features_count,hyperparams,notes,feature_pipeline,family,feature_description,random_seed,cv_mode,sampler_summary,encoder,scaler,manual_features,poly_added,selector,basic_sampler,advanced_sampler
2025-11-07 14:37:36,seed42_tree_target_LGB_v4,LGB,0.7961424188163319,0.05549868233079346,0.869576265802681,27,"{'random_state': 42, 'n_jobs': -1, 'verbosity': -1, 'n_estimators': 1700, 'learning_rate': 0.025, 'num_leaves': 120, 'subsample': 0.8, 'colsample_bytree': 0.85, 'reg_lambda': 0.8}",Target encoding on categoricals,tree_target,tree,Target encoding on categoricals,42,kfold,none,target,none,none,0,none,none,none
2025-11-07 14:37:27,seed42_tree_target_LGB_v3,LGB,0.7948163178706656,0.05059624069530435,0.867988056667302,27,"{'random_state': 42, 'n_jobs': -1, 'verbosity': -1, 'n_estimators': 1500, 'learning_rate': 0.03, 'num_leaves': 96, 'subsample': 0.85, 'colsample_bytree': 0.85, 'reg_lambda': 0.5}",Target encoding on categoricals,tree_target,tree,Target encoding on categoricals,42,kfold,none,target,none,none,0,none,none,none
2025-11-07 15:16:43,seed2025_tree_target_LGB_v3,LGB,0.7974549409658105,0.05308230583950734,0.8673527730131504,27,"{'random_state': 2025, 'n_jobs': -1, 'verbosity': -1, 'n_estimators': 1500, 'learning_rate': 0.03, 'num_leaves': 96, 'subsample': 0.85, 'colsample_bytree': 0.85, 'reg_lambda': 0.5}",Target encoding on categoricals,tree_target,tree,Target encoding on categoricals,2025,kfold,none,target,none,none,0,none,none,none
2025-11-07 15:21:13,seed2025_tree_onehot_LGB_v1,LGB,0.7974764795851753,0.04403088384468336,0.8657010355123562,48,"{'random_state': 2025, 'n_jobs': -1, 'verbosity': -1, 'n_estimators': 1000, 'learning_rate': 0.05, 'num_leaves': 64, 'subsample': 0.9, 'colsample_bytree': 0.8, 'reg_lambda': 0.0}",One-hot encoding without scaling,tree_onehot,tree,One-hot encoding without scaling,2025,kfold,none,onehot,none,none,0,none,none,none
2025-11-07 15:20:06,seed2025_tree_onehot_HGB_v3,HGB,0.7888426034730383,0.04932497764966113,0.8653833936852805,48,"{'random_state': 2025, 'learning_rate': 0.03, 'max_depth': 10, 'max_iter': 900, 'l2_regularization': 0.05}",One-hot encoding without scaling,tree_onehot,tree,One-hot encoding without scaling,2025,kfold,none,onehot,none,none,0,none,none,none
2025-11-07 14:41:13,seed42_tree_onehot_HGB_v3,HGB,0.7888426034730383,0.04932497764966113,0.8653833936852805,48,"{'random_state': 42, 'learning_rate': 0.03, 'max_depth': 10, 'max_iter': 900, 'l2_regularization': 0.05}",One-hot encoding without scaling,tree_onehot,tree,One-hot encoding without scaling,42,kfold,none,onehot,none,none,0,none,none,none
2025-11-07 15:21:25,seed2025_tree_onehot_LGB_v3,LGB,0.7928592552179508,0.0581240981450929,0.8653198653198654,48,"{'random_state': 2025, 'n_jobs': -1, 'verbosity': -1, 'n_estimators': 1500, 'learning_rate': 0.03, 'num_leaves': 96, 'subsample': 0.85, 'colsample_bytree': 0.85, 'reg_lambda': 0.5}",One-hot encoding without scaling,tree_onehot,tree,One-hot encoding without scaling,2025,kfold,none,onehot,none,none,0,none,none,none
2025-11-07 14:37:01,seed42_tree_target_XGB_v3,XGB,0.8098867159084551,0.048135064336207796,0.8653198653198654,27,"{'random_state': 42, 'eval_metric': 'auc', 'n_jobs': -1, 'tree_method': 'hist', 'verbosity': 0, 'n_estimators': 1600, 'learning_rate': 0.03, 'max_depth': 10, 'subsample': 0.85, 'colsample_bytree': 0.8, 'reg_lambda': 1.5, 'scale_pos_weight': 1.5}",Target encoding on categoricals,tree_target,tree,Target encoding on categoricals,42,kfold,none,target,none,none,0,none,none,none
2025-11-07 15:16:04,seed2025_tree_target_XGB_v1,XGB,0.80646515304124,0.044129181456260026,0.8651928085890349,27,"{'random_state': 2025, 'eval_metric': 'auc', 'n_jobs': -1, 'tree_method': 'hist', 'verbosity': 0, 'n_estimators': 1000, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.9, 'colsample_bytree': 0.75, 'reg_lambda': 1.0, 'scale_pos_weight': 1.0}",Target encoding on categoricals,tree_target,tree,Target encoding on categoricals,2025,kfold,none,target,none,none,0,none,none,none
2025-11-07 14:37:10,seed42_tree_target_XGB_v4,XGB,0.8111250163206684,0.048920287912472424,0.8645575249348835,27,"{'random_state': 42, 'eval_metric': 'auc', 'n_jobs': -1, 'tree_method': 'hist', 'verbosity': 0, 'n_estimators': 1800, 'learning_rate': 0.025, 'max_depth': 11, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_lambda': 1.8, 'scale_pos_weight': 1.8}",Target encoding on categoricals,tree_target,tree,Target encoding on categoricals,42,kfold,none,target,none,none,0,none,none,none
