threshold,precision,recall,f1
0.1,0.15142857142857144,1.0,0.2630272952853598
0.15,0.15142857142857144,1.0,0.2630272952853598
0.2,0.15142857142857144,1.0,0.2630272952853598
0.25,0.15142857142857144,1.0,0.2630272952853598
0.3,0.15142857142857144,1.0,0.2630272952853598
0.35,0.15142857142857144,1.0,0.2630272952853598
0.4,0.15142857142857144,1.0,0.2630272952853598
0.45,0.15142857142857144,1.0,0.2630272952853598
0.5,0.19736842105263158,0.8490566037735849,0.3202846975088968
0.55,0.35294117647058826,0.11320754716981132,0.17142857142857143
0.6,0.5,0.018867924528301886,0.03636363636363636
0.65,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.9,0.0,0.0,0.0
