feature,coefficient,abs_coefficient
cat__OverTime_No,-2.1480684715275755,2.1480684715275755
log_num__MonthlyIncome,-1.8661427629989702,1.8661427629989702
num__JobLevel,1.0861353023597744,1.0861353023597744
cat__BusinessTravel_Non-Travel,-0.9597669796416348,0.9597669796416348
cat__MaritalStatus_Divorced,-0.8670490462195386,0.8670490462195386
cat__BusinessTravel_Travel_Frequently,0.7667841713906931,0.7667841713906931
num__income_per_level,0.6727791120031283,0.6727791120031283
cat__EducationField_Technical Degree,0.5900916072071608,0.5900916072071608
num__satisfaction_mean,-0.5696461872980406,0.5696461872980406
cat__JobRole_Healthcare Representative,-0.5617213082125987,0.5617213082125987
log_num__NumCompaniesWorked,0.5612546416028845,0.5612546416028845
log_num__TotalWorkingYears,-0.5486169781313771,0.5486169781313771
log_num__YearsSinceLastPromotion,0.4947551131591142,0.4947551131591142
cat__EducationField_Other,-0.4893839189769274,0.4893839189769274
cat__EducationField_Life Sciences,-0.4830598847723124,0.4830598847723124
cat__EducationField_Medical,-0.48068145836542037,0.48068145836542037
cat__JobRole_Research Scientist,-0.4397124978918161,0.4397124978918161
log_num__DistanceFromHome,0.4385504532661588,0.4385504532661588
cat__MaritalStatus_Married,-0.4198280962692624,0.4198280962692624
cat__JobRole_Research Director,-0.41947972287370444,0.41947972287370444
cat__JobRole_Sales Executive,0.41711429940317657,0.41711429940317657
num__years_in_role_ratio,-0.4122535822417094,0.4122535822417094
cat__Gender_Female,-0.40153765833190863,0.40153765833190863
num__JobInvolvement,-0.37955950201677574,0.37955950201677574
cat__Department_Research & Development,-0.3777792760741367,0.3777792760741367
cat__MaritalStatus_Single,0.3244624787242809,0.3244624787242809
log_num__YearsWithCurrManager,-0.31000104697282205,0.31000104697282205
num__Age,-0.2411167952981316,0.2411167952981316
num__JobSatisfaction,-0.21902129383516916,0.21902129383516916
log_num__YearsInCurrentRole,0.21361375928971396,0.21361375928971396
num__EnvironmentSatisfaction,-0.20031117053085593,0.20031117053085593
cat__EducationField_Human Resources,0.15189798503942034,0.15189798503942034
num__StockOptionLevel,-0.14485151393293755,0.14485151393293755
num__TrainingTimesLastYear,-0.1442997833800885,0.1442997833800885
cat__JobRole_Sales Representative,0.1361296515703,0.1361296515703
log_num__YearsAtCompany,-0.11104825640608884,0.11104825640608884
num__PerformanceRating,0.09195097750961201,0.09195097750961201
num__managerial_tenure_gap,0.06078397113616629,0.06078397113616629
num__Education,-0.060121167774623355,0.060121167774623355
num__WorkLifeBalance,-0.03476462388772232,0.03476462388772232
cat__JobRole_Laboratory Technician,0.024918505477927226,0.024918505477927226
cat__Over18_Y,-0.006442798639742683,0.006442798639742683
num__years_at_company_per_level,0.0051409228595228436,0.0051409228595228436
num__RelationshipSatisfaction,0.0,0.0
num__StandardHours,0.0,0.0
num__PercentSalaryHike,0.0,0.0
cat__Department_Human Resources,0.0,0.0
cat__Department_Sales,0.0,0.0
cat__EducationField_Marketing,0.0,0.0
cat__BusinessTravel_Travel_Rarely,0.0,0.0
cat__JobRole_Human Resources,0.0,0.0
cat__JobRole_Manager,0.0,0.0
cat__JobRole_Manufacturing Director,0.0,0.0
cat__Gender_Male,0.0,0.0
cat__OverTime_Yes,0.0,0.0
